Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"D1","1N4148W","D_SOD-123",69.665293,-62.207204,90.000000,bottom
"D2","1N4148W","D_SOD-123",84.168693,-54.168104,180.000000,bottom
"D3","1N4148W","D_SOD-123",98.976893,-49.100804,0.000000,bottom
"D4","1N4148W","D_SOD-123",126.726393,-50.510504,90.000000,bottom
"D5","1N4148W","D_SOD-123",137.102293,-56.733504,0.000000,bottom
"D6","1N4148W","D_SOD-123",126.726393,-111.711804,90.000000,bottom
"D11","1N4148W","D_SOD-123",69.677993,-81.219104,90.000000,bottom
"D12","1N4148W","D_SOD-123",88.677193,-68.709604,90.000000,bottom
"D13","1N4148W","D_SOD-123",99.281693,-68.201604,0.000000,bottom
"D14","1N4148W","D_SOD-123",126.802593,-68.798504,90.000000,bottom
"D15","1N4148W","D_SOD-123",137.127693,-75.694604,0.000000,bottom
"D21","1N4148W","D_SOD-123",69.779593,-100.269104,90.000000,bottom
"D22","1N4148W","D_SOD-123",88.613693,-87.721504,90.000000,bottom
"D23","1N4148W","D_SOD-123",107.752593,-82.717704,90.000000,bottom
"D24","1N4148W","D_SOD-123",126.739093,-87.746904,90.000000,bottom
"D25","1N4148W","D_SOD-123",137.407093,-94.693804,0.000000,bottom
"D34","1N4148W","D_SOD-123",146.284393,-114.404204,80.000000,bottom
"D35","1N4148W","D_SOD-123",156.698393,-122.189304,340.000000,bottom
"D81","1N4148W","D_SOD-123",72.192593,-112.908404,90.000000,bottom
"D82","1N4148W","D_SOD-123",45.230493,-73.700704,180.000000,bottom
"D83","1N4148W","D_SOD-123",45.192393,-92.572904,180.000000,bottom
"D86","1N4148W","D_SOD-123",45.192393,-111.673704,180.000000,bottom
"R1","10k","R_0805_2012Metric",150.043593,-86.540404,0.000000,bottom
"SW8","SW_Push","SKQG-1155865",150.043593,-92.534804,270.000000,bottom
